rank,character,world,level
1,Redd3MH,bera,270
2,MikhaiI,bera,264
3,Matcherobi5,elysium,264
4,zMinhBéo,scania,263
5,BiItong,bera,261
6,Richisuki,aurora,261
7,LordGarro,bera,260
8,Monarchy,scania,260
9,TheLastKnght,bera,255
10,MirthfulMink,bera,254
11,HanuI,aurora,254
12,Blader100,scania,250
13,GammaPsychi,scania,250
14,Condors,aurora,250
15,Birthlight,aurora,250
16,NóóbPatrol,scania,250
17,iDoNotSLeep,elysium,250
18,Joseì,bera,250
19,OnePunchBXM,aurora,249
20,AbandonedBoy,scania,246
21,Mess,scania,245
22,ThreegainJr,bera,244
23,PeztoaIsBack,elysium,243
24,Yuséi,aurora,243
25,Bashment,bera,242
26,ParryTurtle,aurora,242
27,SilverHelm,bera,241
28,Mihilecyt,elysium,240
29,KizaruzLight,bera,240
30,Shotaman,bera,240
31,Agonista,bera,240
32,DeadMemehile,bera,240
33,BuffMihiles,aurora,240
34,RicciBobby,elysium,238
35,Lineal,scania,238
36,Dreadlock,bera,238
37,SunnyShîmmer,bera,238
38,Katsami,bera,237
39,Ildhana,aurora,237
40,MihileSSZ,elysium,237
41,Foute,scania,237
42,EdwinDMQ,bera,237
43,0Yandere0,scania,237
44,BIume,aurora,236
45,Brostate,bera,235
46,MushieMihile,scania,235
47,aShieldHero,scania,235
48,Townsfolk,bera,235
49,lMrPopo,bera,235
50,Fluku,bera,234
51,Lucidistar,aurora,233
52,Yeckkz,bera,233
53,millieonaire,bera,233
54,SEIP0N,aurora,232
55,Tarren,bera,232
56,Legion99,elysium,231
57,Jequn,elysium,231
58,Sydo,elysium,230
59,hyadeeznutz,bera,230
60,Imåø,elysium,230
61,Powerplay,aurora,230
62,AwesumBearMi,scania,230
63,Gaysies,bera,229
64,Guardock,bera,229
65,Voidien,scania,229
66,Darmiuz,scania,229
67,RoyalBulwark,aurora,227
68,Danny,bera,227
69,Chow,bera,227
70,DecentIy,aurora,227
71,Pätrön,aurora,227
72,Mikail1704,aurora,226
73,SacredWrath,bera,225
74,NegritaaXD,elysium,225
75,MrNoOne,bera,225
76,VisonAlegre,bera,225
77,RageOfMihiIe,bera,225
78,AllesNicht,bera,225
79,VaanDrake,scania,225
80,Daming205,elysium,225
81,Koruscation,bera,225
